hit_rate,hits,misses,total_requests,evictions,policy,cache_size,trace_length,time_ms,trace_type,num_items,alpha,working_set_size
0.05836,5836,94164,100000,94064,LRU,100,100000,112.5636100769043,zipfian,10000,1.0,
0.36004,36004,63996,100000,63896,LFU,100,100000,163.33937644958496,zipfian,10000,1.0,
0.1268,12680,87320,100000,86820,LRU,500,100000,112.1971607208252,zipfian,10000,1.0,
0.49049,49049,50951,100000,50451,LFU,500,100000,265.22159576416016,zipfian,10000,1.0,
0.20086,20086,79914,100000,78914,LRU,1000,100000,111.99212074279785,zipfian,10000,1.0,
0.59755,59755,40245,100000,39245,LFU,1000,100000,445.51753997802734,zipfian,10000,1.0,
0.32926,32926,67074,100000,65074,LRU,2000,100000,175.0633716583252,zipfian,10000,1.0,
0.7192,71920,28080,100000,26080,LFU,2000,100000,842.2205448150635,zipfian,10000,1.0,
0.35482,35482,64518,100000,64418,LRU,100,100000,82.49855041503906,zipfian,10000,1.5,
0.88433,88433,11567,100000,11467,LFU,100,100000,72.8914737701416,zipfian,10000,1.5,
0.5552,55520,44480,100000,43980,LRU,500,100000,87.0516300201416,zipfian,10000,1.5,
0.94935,94935,5065,100000,4565,LFU,500,100000,85.65473556518555,zipfian,10000,1.5,
0.84589,84589,15411,100000,14411,LRU,1000,100000,82.73458480834961,zipfian,10000,1.5,
0.9669,96690,3310,100000,2310,LFU,1000,100000,99.16901588439941,zipfian,10000,1.5,
0.97662,97662,2338,100000,338,LRU,2000,100000,94.52104568481445,zipfian,10000,1.5,
0.97678,97678,2322,100000,322,LFU,2000,100000,94.93422508239746,zipfian,10000,1.5,
0.7706,77060,22940,100000,22840,LRU,100,100000,46.29945755004883,zipfian,10000,2.0,
0.98802,98802,1198,100000,1098,LFU,100,100000,36.66281700134277,zipfian,10000,2.0,
0.99571,99571,429,100000,0,LRU,500,100000,27.173519134521484,zipfian,10000,2.0,
0.99571,99571,429,100000,0,LFU,500,100000,35.140037536621094,zipfian,10000,2.0,
0.99571,99571,429,100000,0,LRU,1000,100000,27.801513671875,zipfian,10000,2.0,
0.99571,99571,429,100000,0,LFU,1000,100000,31.594514846801758,zipfian,10000,2.0,
0.99571,99571,429,100000,0,LRU,2000,100000,26.720285415649414,zipfian,10000,2.0,
0.99571,99571,429,100000,0,LFU,2000,100000,31.670093536376953,zipfian,10000,2.0,
0.01823,1823,98177,100000,98077,LRU,100,100000,108.83140563964844,working_set,10000,,100.0
0.01851,1851,98149,100000,98049,LFU,100,100000,254.56786155700684,working_set,10000,,100.0
0.057,5700,94300,100000,93800,LRU,500,100000,114.09974098205566,working_set,10000,,100.0
0.05772,5772,94228,100000,93728,LFU,500,100000,651.6897678375244,working_set,10000,,100.0
0.10841,10841,89159,100000,88159,LRU,1000,100000,105.00025749206543,working_set,10000,,100.0
0.10831,10831,89169,100000,88169,LFU,1000,100000,1221.3473320007324,working_set,10000,,100.0
0.20565,20565,79435,100000,77435,LRU,2000,100000,117.40589141845703,working_set,10000,,100.0
0.20752,20752,79248,100000,77248,LFU,2000,100000,2212.2342586517334,working_set,10000,,100.0
